DD Field,Source Field,Field Description,Resource
Country,"""CA""",The country abbreviation in a postal address.,Property
CountyOrParish,CountyOrParish,"The County, Parish or other regional authority",Property
CoveredSpaces,GarageSpaces,The total number of garage and carport spaces.,Property
CropsIncludedYN,LivestockOrCropIncludedYN,Are crops included in the sale of the property.,Property
CrossStreet,CrossStreet,"Nearest cross streets to the property.  This field is in addition to, and independent of, the driving directions field.",Property
CurrentFinancing,Financing,"A list of options that describe the type of financing that the seller currently has in place for the property being sold.  i.e. cash, assumable, FHA loan, etc.",Property
CurrentUse,UseCurrent,A list of the type(s) of current use of the property. The current use of the property is an important factor in understanding the overall condition of the land and determining it's appropriateness for intended use.,Property
DirectionFaces,FrontingOn,"The compass direction that the main entrance to the building faces. For example, North, South, East, West, South-West, etc. It may also be known as the building exposure.",Property
Directions,Directions,Driving directions to the property.,Property
DoorFeatures,"DoubleManDoorHeight, DoubleManDoorWidth, DoubleManShippingDoors, DriveInDoorHeight, DriveInDoorWidth, DriveInShippingDoors, GradeLevelDoorHeight, GradeLevelDoorWidth, GradeLevelShippingDoors, TruckLevelDoorHeight, TruckLevelDoorWidth, TruckLevelShippingDoors",A list of features or description of the doors included in the sale/lease.,Property
Electric,"Amps, Volts","A list of electric-service related features of the property (e.g. 110 Volt, 3 Phase, 220 Volt, RV Hookup). Note: the previous ""Electric"" field was renamed to DistanceToElectricComments",Property
ElectricOnPropertyYN,"Amps, Volts",Does the property currently have electrical utility available on the property.,Property
ElementarySchool,ElementarySchool,The name of the primary school having a catchment area that includes the associated property.,Property
ElementarySchoolDistrict,SchoolDistricts,The name of the elementary school district having a catchment area that includes the associated property.,Property
Exclusions,Exclusions,Elements of the property that will not be included in the sale.  i.e. Chandeliers will be removed prior to close.,Property
ExistingLeaseType,"FeaturesFarm, LeaseType","Information about the status of the existing lease on the property.  i.e. Net, NNN, NN, Gross, Absolute Net, Escalation Clause, Ground Lease, etc.",Property
ExteriorFeatures,"Balcony, OutsideStorageYN, PrivateEntranceYN",A list of features or description of the exterior of the property included in the sale/lease.,Property
Fencing,FeaturesFarm,A list of types of fencing found at the property being sold.,Property
FireplaceFeatures,"FireplaceStoveOperationalYN, FireplaceType",A list of features or description of the fireplace(s) included in the sale/lease.,Property
FireplaceYN,NumberFireplaces,Does the property include a fireplace.,Property
FireplacesTotal,NumberFireplaces,The total number of fireplaces included in the property.,Property
Flooring,FeaturesInterior,A list of the type(s) of flooring found within the property.,Property
FoundationDetails,Foundation,A list of the type(s) of foundation on which the property sits.,Property
FrontageLength,LotFront,Textual description of the length of the frontages selected in the Frontage Type field.,Property
FrontageType,FeaturesAreaInfluences,"Pick list of types of frontage. i.e. Oceanfront, Lakefront, Golf course, etc. Information about roads or road frontage should be located in the Road Frontage Type and Road Surface Type fields.",Property
FuelExpense,HeatExpenses,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
Furnished,Furnished,"The property being leased is furnished, unfurnished or partially furnished.",Property
GarageSpaces,"GarageSpaces, GarageSpacesNumber",The number of spaces in the garage(s).,Property
GarageYN,GarageSpaces,"A flag indicating that the listing has a garage. This flag may be T/F, Y/N or other true, false or unknown indicator. As with all flags, the field may be null.",Property
GreenBuildingVerificationType,EnergyCertificationLevel,"The name of the verification or certification awarded to a new or pre-existing residential or commercial structure. For example: LEED, Energy Star, ICC-700.  In cases where more than one certification have been awarded, leverage multiple iterations of the green verification fields via the repeating element method.",Property
GreenEnergyGeneration,FeaturesInterior,Methods of generating power that are included in the sale or lease.,Property
GrossIncome,GrossIncomeSales,The actual current income from rent and all other revenue generating sources.,Property
Heating,"HeatSource, HeatType",A list describing the heating features of the property.,Property
HeatingYN,HeatType,The property has heating.,Property
HighSchool,SecondarySchool,The name of the high school having a catchment area that includes the associated property.,Property
HighSchoolDistrict,SchoolDistricts,"The name of the high school district having a catchment area that includes the associated property.  When only one school district is used, this field should be used over the Junior or Elementary Districts.",Property
HorseAmenities,FeaturesFarm,A list of horse amenities on the lot or in the community.,Property
HorseYN,FarmType,The Property is allowed to raise horses.,Property
HoursDaysOfOperation,DaysOfWeekOpen,A simplified enumerated list of the days and hours of operation of the business being sold.  i.e. Open 24 Hours or Open 7 Days.  For more detailed descriptions use the HoursDaysofOperationDescription field.,Property
Inclusions,Inclusions,Portable elements of the property that will be included in the sale.,Property
IncomeIncludes,LaundryIncome,"A list of income sources included in the GrossScheduledIncome and GrossIncome.  i.e. Laundry, Parking, Recreation, Storage, etc.",Property
InsuranceExpense,InsuranceExpense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
InteriorFeatures,"FeaturesInterior, Services",A list of features or description of the interior of the property included in the sale/lease.,Property
InternetAddressDisplayYN,DisplayAddressOnInternetYN,A yes/no field that states the seller has allowed the listing address to be displayed on Internet sites.,Property
InternetEntireListingDisplayYN,DoNotSendYN,A yes/no field that states the seller has allowed the listing to be displayed on Internet sites.,Property
LandLeaseYN,"FeaturesFarm, ListPriceCode",The land is not included in the sale and a lease exists.,Property
Latitude,Latitude,"The geographic latitude of some reference point on the property, specified in degrees and decimal parts.  Positive numbers must not include the plus symbol.",Property
LaundryFeatures,"LaundryAccess, LaundryYN","Add this pick list of features and locations where the laundry is located in the property being sold.  i.e. Gas Dryer Hookup, In Kitchen, In Garage, etc.  CRMLS sees over 50% utilization of this field which has a dozen enumerations making it too long to fold into other fields such as rooms or Interior Features.",Property
Levels,Style,"The number of levels in the property being sold.  For example, One Level, Two Levels, Split Level, Three or More Levels, Multi Level, Loft.    A discreet horizontal plane of interior living space (excluding basements).",Property
ListAOR,Board,The responsible Board or Association of REALTORS for this listing.,Property
ListAgentAOR,ListAgentBoard,The Listing Agent's Board or Association of REALTORS.,Property
ListAgentCellPhone,ListAgentCellPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListAgentEmail,ListAgentEmail,The email address of the Listing Agent.,Property
ListAgentFullName,ListAgentFullName,The full name of the listing agent. (First Middle Last),Property
ListAgentKey,ListAgent_MUI,"A system unique identifier. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId. This is a foreign key relating to the Member resource's MemberKey.",Property
ListAgentMlsId,ListAgentMLSID,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
ListAgentPreferredPhone,ListAgentDirectWorkPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListOfficeFax,ListOfficeFaxPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListOfficeKey,ListOffice_MUI,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.",Property
ListOfficeMlsId,ListOfficeMLSID,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
ListOfficeName,ListOfficeName,The legal name of the brokerage representing the seller.,Property
ListOfficePhone,ListOfficePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListPrice,"CurrentPrice, ListPrice",The current price of the property as determined by the seller and the seller's broker.  For auctions this is the minimum or reserve price.,Property
ListingContractDate,ListingContractDate,"The effective date of the agreement between the seller and the seller's broker. This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.",Property
ListingId,MLSNumber,"The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Property
ListingInputOriginalMedia,,An object containing original Listing Input media information.,Property
ListingKey,Matrix_Unique_ID,"A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the ListingKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Property
LivingArea,SqFtTotal,The total livable area within the structure.,Property
LivingAreaSource,SqftSource,"The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Property
LivingAreaUnits,"""Square Feet""","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
LockBoxType,LockboxYN,A field describing the type of lock box.,Property
Longitude,Longitude,"The geographic longitude of some reference point on the property, specified in degrees and decimal parts. Positive numbers must not include the plus symbol.",Property
LotFeatures,"FeaturesAreaInfluences, FeaturesFarm, Location, LotShape",A list of features or description of the lot included in the sale/lease.,Property
LotSizeAcres,"AcresTotal, LotDepth, LotFront",The total Acres of the lot.  This field is related to the Lot Size Area and Lot Size Units and must be in sync with the values represented in those fields.  Lot Size Source also applies to this field when used.,Property
LotSizeArea,"AcresTotal, LotDepth, LotFront","The total area of the lot.  See Lot Size Units for the units of measurement (Square Feet, Square Meters, Acres, etc.).",Property
LotSizeDimensions,"LotDepth, LotFront",The dimensions of the lot minimally represented as length and width (i.e. 250 x 180) or a measurement of all sides of the polygon representing the property lines of the property.  i.e. 30 x 50 x 120 x 60 x 22.,Property
LotSizeSquareFeet,"AcresTotal, LotDepth, LotFront",The total square footage of the lot.  This field is related to the Lot Size Area and Lot Size Units and must be in sync with the values represented in those fields.  Lot Size Source also applies to this field when used.,Property
LotSizeUnits,"AcresTotal, LotDepth, LotFront","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
MLSAreaMajor,Neighbourhood,"The major marketing area name, as defined by the MLS or other non-governmental organization.  If there is only one MLS Area in use, it must be the MLSAreaMajor.",Property
MaintenanceExpense,MaintenanceAmount,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
MajorChangeTimestamp,LastChangeTimestamp,Timestamp of the last major change on the listing (see also MajorChangeType).,Property
MajorChangeType,LastChangeType,"Description of the last major change on the listing, i.e. “price reduction”, “back on market”, etc.  May be used to display on a summary view of listing results to quickly identify listings that have had major changes recently.",Property
Media,,"An object containing media information such as id, url and type.",Property
MiddleOrJuniorSchool,SecondarySchool,The name of the junior or middle school having a catchment area that includes the associated property.,Property
MiddleOrJuniorSchoolDistrict,SchoolDistricts,The name of the junior or middle school district having a catchment area that includes the associated property.,Property
MlsStatus,Status,Local or regional status that are well known by business users. Each MlsStatus must map to a single StandardStatus. Multiple MlsStatus may map to a single StandardStatus.,Property
ModificationTimestamp,MatrixModifiedDT,The transactional timestamp automatically recorded by the MLS system representing the date/time the listing was last modified.,Property
NetOperatingIncome,NetOperatingIncome,"Net operating income is the revenue from a property after operating expenses have been deducted, but before deducting income taxes and financing expenses (interest and Principal Payments).   For example, Gross Income - Operating Expenses = Net Operating Income (NOI).",Property
NewConstructionYN,ApproximateAge,Is the property newly constructed and has not been previously occupied?,Property
NewTaxesExpense,TaxesExpense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
NumberOfFullTimeEmployees,EmployeesFullTime,The current number of individuals employed by the business on a full-time basis.,Property
NumberOfPartTimeEmployees,EmployeesPartTime,The current number of individuals employed by the business on a part-time basis.,Property
NumberOfUnitsInCommunity,UnitCount,"The total number of units in the building, complex or community.  This is not the number of units being sold, but rather the size of the community in which the dwelling being sold is located.",Property
NumberOfUnitsTotal,NumberTotalUnits,"Total number of units included in the income property, occupied or unoccupied.",Property
OccupantType,Occupancy,"A field that describes the type of occupant, i.e. Owner, Tenant, Vacant.",Property
OpenParkingSpaces,DrivewaySpacesNumber,The number of open or uncovered parking spaces included in the sale.,Property
OpenParkingYN,"Drive, GarageAndParking",A flag indicating that any parking spaces associated with the property are not covered by a roof.,Property
OperatingExpense,"OperatingExpenses, TotalOperatingExpense",The costs associated with the operation and maintenance of an income-producing property.,Property
OriginalListPrice,OriginalListPrice,The original price of the property on the initial agreement between the seller and the seller's broker.,Property
OriginatingSystemName,MLS,The name of the Originating record provider.  Most commonly the name of the MLS. The place where the listing is originally input by the member.  The legal name of the company.,Property
OtherEquipment,"CraneYN, FeaturesFarm, FeaturesInterior",A list of other equipment that will be included in the sale of the property.,Property
OtherExpense,OtherExpense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
OtherStructures,"OtherStructures, OtherStructuresFarm","A list of structures other than the main dwelling.  For example, Guest House, Barn, Shed, etc.",Property
Ownership,OwnershipType,"A text description of the manner in which title to a property is held.  Trust, Corporation, Joint Tennant, Individual.",Property
ParcelNumber,ParcelNumber,A number used to uniquely identify a parcel or lot.  This number is typically issued by the county or county assessor.  The AP number format varies from county to county.  It is recommended that all Parcel Numbers be transmitted without dashes or hyphens.,Property
ParkingFeatures,"CondoAmenities, Drive, FeaturesInterior, GarageAndParking",A list of features or description of the parking included in the sale/lease.,Property
ParkingTotal,ParkingSpacesTotal,The total number of parking spaces included in the sale.,Property
PastureArea,AcresPasture,Measurement or percentage of the property that has been allocated as pasture or grazing area.,Property
PetsAllowed,PetsPermitted,"Are pets allowed at the property being leased?  A list of yes, no and more detailed restrictions/allowances.",Property
PhotosChangeTimestamp,PhotoModificationTimestamp,System generated timestamp of when the last update or change to the photos for this listing was made.,Property
PhotosCount,PhotoCount,The total number of pictures or photos included with the listing.,Property
PoolFeatures,PoolType,A list of features or description of the pool included in the sale/lease.,Property
Possession,PossessionType,"A list defining when possession will occur.  i.e. COE, COE+1, etc.",Property
PostalCode,PostalCode,The postal code portion of a street or mailing address.,Property
PostalCodePlus4,PostalCodePlus4,The postal code +4 portion of a street or mailing address.,Property
ProfessionalManagementExpense,ManagementExpense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.  This is for a management company.  Use ManagerExpense for a individual manager.,Property
PropertyAttachedYN,"PropertyType, Style, Type","A flag indicating that the primary structure is attached to another structure that is not included in the sale.  i.e. one unit of a duplex. This flag may be T/F, Y/N or a list of attached or detached. As with all flags, the field may be null.  In some systems this information may be part of the Property Sub Type.",Property
PropertySubType,"PropertySubType, Type","A list of types of residential and residential lease properties, i.e. SFR, Condo, etc. Or a list of Sub Types for Mobile, such as Expando, Manufactured, Modular, etc.",Property
PropertyType,PropertyType,"A list of types of properties such as Residential, Lease, Income, Land, Mobile, Commercial Sale, etc...",Property
PublicRemarks,RemarksForClients,"Text remarks that may be displayed to the public. In an MLS, it is the field where information is entered for the public. This information is intended to be visible on-line. This is typically information that describes the selling points of the building and/or land for sale. Local conditions and rules will determine what such content can contain. Generally, the following information is excluded: any information pertaining to entry to the property, the seller and/or tenant, listing member contact information. In other systems, these remarks will be determined by local business rules.",Property
RAHB_AcresBush,Listing: AcresBush,Acres Bush,Property
RAHB_AcresClear,Listing: AcresClear,Acres Clear,Property
RAHB_AcresFenced,Listing: AcresFenced,Acres Fenced,Property
RAHB_AcresOther,Listing: AcresOther,Acres Other,Property
RAHB_AcresRange,Listing: AcresRange,Acres Range,Property
RAHB_AcresRented,Listing: AcresRented,Acres Rented,Property
RAHB_AcresTiledRandom,Listing: AcresTiledRandom,Acres Tiled Random,Property
RAHB_AcresTiledSystematic,Listing: AcresTiledSystematic,Acres Tiled Systematic,Property
RAHB_AcresWorkable,Listing: AcresWorkable,Acres Workable,Property
RAHB_ActiveOpenHouseCount,Listing: ActiveOpenHouseCount,Active Open House Count,Property
RAHB_AdditionalImagesURL,Listing: AdditionalImagesURL,Additional Images URL,Property
RAHB_AdditionalMonthlyFees,Listing: AdditionalMonthlyFees,Additional Monthly Fees,Property
RAHB_AdditionalResidence,Listing: AdditionalResidence,Additional Residence,Property
RAHB_AdministrativeFee,Listing: AdministrativeFee,Administrative Fee,Property
RAHB_AlternateFeatureSheetURL,Listing: AlternateFeatureSheetURL,Alternate Feature Sheet URL,Property
RAHB_Appointments,Listing: Appointments,Appointments,Property
RAHB_AssessmentRollNumber,Listing: AssessmentRollNumber,Assessment Roll Number,Property
RAHB_AssessmentYear,Listing: AssessmentYear,Assessment Year,Property
RAHB_BathsTotal,Listing: BathsTotal,Baths Total,Property
RAHB_BaySizeLength,Listing: BaySizeLength,Bay Size Length,Property
RAHB_BaySizeWidth,Listing: BaySizeWidth,Bay Size Width,Property
RAHB_BedsAboveGrade,Listing: BedsAboveGrade,Beds Above Grade,Property
RAHB_BedsBelowGrade,Listing: BedsBelowGrade,Beds Below Grade,Property
RAHB_BrokerageTrustAccountYN,Listing: BrokerageTrustAccountYN,Brokerage Trust Account YN,Property
RAHB_BuildingPercentage,Listing: BuildingPercentage,Building Percentage,Property
RAHB_BuyOptionYN,Listing: BuyOptionYN,Buy Option YN,Property
RAHB_ChattelsYN,Listing: ChattelsYN,Chattels YN,Property
RAHB_ClearanceHeight,Listing: ClearanceHeight,Clearance Height,Property
RAHB_CoLIstAgent3_MUI,Listing: CoLIstAgent3_MUI,Co L Ist Agent 3 MUI,Property
RAHB_CoListAgent3Board,Listing: CoListAgent3Board,Co List Agent 3 Board,Property
RAHB_CoListAgent3DirectWorkPhone,Listing: CoListAgent3DirectWorkPhone,Co List Agent 3 Direct Work Phon,Property
RAHB_CoListAgent3Email,Listing: CoListAgent3Email,Co List Agent 3 Email,Property
RAHB_CoListAgent3FullName,Listing: CoListAgent3FullName,Co List Agent 3 Full Name,Property
RAHB_CoListAgent3MLSID,Listing: CoListAgent3MLSID,Co List Agent 3 MLSID,Property
RAHB_Commission,Listing: Commission,Commission,Property
RAHB_CommonAreaUpcharge,Listing: CommonAreaUpcharge,Common Area Upcharge,Property
RAHB_CommonElementsFeeYN,Listing: CommonElementsFeeYN,Common Elements Fee YN,Property
RAHB_ConditionsOfSale,Listing: ConditionsOfSale,Conditions Of Sale,Property
RAHB_CondoCorpNumber,Listing: CondoCorpNumber,Condo Corp Number,Property
RAHB_CondoFeeRemarks,Listing: CondoFeeRemarks,Condo Fee Remarks,Property
RAHB_CreditCheckYN,Listing: CreditCheckYN,Credit Check YN,Property
RAHB_Deposit,Listing: Deposit,Deposit,Property
RAHB_DepositRequiredYN,Listing: DepositRequiredYN,Deposit Required YN,Property
RAHB_DevelopmentChargesPaid,Listing: DevelopmentChargesPaid,Development Charges Paid,Property
RAHB_EmploymentLetterYN,Listing: EmploymentLetterYN,Employment Letter YN,Property
RAHB_EnergyCertificationLevelYN,Listing: EnergyCertificationLevelYN,Energy Certification Level YN,Property
RAHB_EstimatedInventoryValue,Listing: EstimatedInventoryValue,Estimated Inventory Value,Property
RAHB_Expenses,Listing: Expenses,Expenses,Property
RAHB_Exposure,Listing: Exposure,Exposure,Property
RAHB_FinancialInformationForYearEnding,Listing: FinancialInformationForYearEnding,Financial Information For Year E,Property
RAHB_FinancialInformationIs,Listing: FinancialInformationIs,Financial Information Is,Property
RAHB_FinancialStatementYN,Listing: FinancialStatementYN,Financial Statement YN,Property
RAHB_FranchiseYN,Listing: FranchiseYN,Franchise YN,Property
RAHB_GreenPropertyInformationStatementYN,Listing: GreenPropertyInformationStatementYN,Green Property Information State,Property
RAHB_HSTApplicableToSalePrice,Listing: HSTApplicableToSalePrice,HST Applicable To Sale Price,Property
RAHB_HydroExpense,Listing: HydroExpense,Hydro Expense,Property
RAHB_IncludedInCosts,Listing: IncludedInCosts,Included In Costs,Property
RAHB_IncomePotentialYN,Listing: IncomePotentialYN,Income Potential YN,Property
RAHB_IndustrialArea,Listing: IndustrialArea,Industrial Area,Property
RAHB_IndustrialAreaCode,Listing: IndustrialAreaCode,Industrial Area Code,Property
RAHB_LLBOYN,Listing: LLBOYN,LLBOYN,Property
RAHB_LastStatus,Listing: LastStatus,Last Status,Property
RAHB_LaundryRentals,Listing: LaundryRentals,Laundry Rentals,Property
RAHB_LeaseAgreementYN,Listing: LeaseAgreementYN,Lease Agreement YN,Property
RAHB_LeasesYN,Listing: LeasesYN,Leases YN,Property
RAHB_Locker,Listing: Locker,Locker,Property
RAHB_LockerNumber,Listing: LockerNumber,Locker Number,Property
RAHB_LotBuildingUnitCode,Listing: LotBuildingUnitCode,Lot Building Unit Code,Property
RAHB_LotIrregularities,Listing: LotIrregularities,Lot Irregularities,Property
RAHB_LotSizeCode,Listing: LotSizeCode,Lot Size Code,Property
RAHB_MarketingQuotaIncludedYN,Listing: MarketingQuotaIncludedYN,Marketing Quota Included YN,Property
RAHB_MaxRentalTerm,Listing: MaxRentalTerm,Max Rental Term,Property
RAHB_MinRentalTerm,Listing: MinRentalTerm,Min Rental Term,Property
RAHB_MobileHomeYear,Listing: MobileHomeYear,Mobile Home Year,Property
RAHB_MobileLotFees,Listing: MobileLotFees,Mobile Lot Fees,Property
RAHB_MortgageComments,Listing: MortgageComments,Mortgage Comments,Property
RAHB_NetIncome,Listing: NetIncome,Net Income,Property
RAHB_Number1BedroomUnits,Listing: Number1BedroomUnits,Number 1 Bedroom Units,Property
RAHB_Number2BedroomUnits,Listing: Number2BedroomUnits,Number 2 Bedroom Units,Property
RAHB_Number2PieceBathrooms,Listing: Number2PieceBathrooms,Number 2 Piece Bathrooms,Property
RAHB_Number3BedroomUnits,Listing: Number3BedroomUnits,Number 3 Bedroom Units,Property
RAHB_Number3PieceBathrooms,Listing: Number3PieceBathrooms,Number 3 Piece Bathrooms,Property
RAHB_Number4BedroomUnits,Listing: Number4BedroomUnits,Number 4 Bedroom Units,Property
RAHB_Number4PieceBathrooms,Listing: Number4PieceBathrooms,Number 4 Piece Bathrooms,Property
RAHB_Number5BedroomUnits,Listing: Number5BedroomUnits,Number 5 Bedroom Units,Property
RAHB_Number5PlusPieceBathrooms,Listing: Number5PlusPieceBathrooms,Number 5 Plus Piece Bathrooms,Property
RAHB_Number6PlusBedroomUnits,Listing: Number6PlusBedroomUnits,Number 6 Plus Bedroom Units,Property
RAHB_NumberDishwashers,Listing: NumberDishwashers,Number Dishwashers,Property
RAHB_NumberDryers,Listing: NumberDryers,Number Dryers,Property
RAHB_NumberEnsuites,Listing: NumberEnsuites,Number Ensuites,Property
RAHB_NumberOccupiedUnits,Listing: NumberOccupiedUnits,Number Occupied Units,Property
RAHB_NumberRefrigerators,Listing: NumberRefrigerators,Number Refrigerators,Property
RAHB_NumberRoomsAboveGrade,Listing: NumberRoomsAboveGrade,Number Rooms Above Grade,Property
