DD Field,Source Field,Field Description,Resource
FarmLandAreaUnits,"""Square Feet"',"A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.  This field applies to all farm area fields (Cultivated, Pasture, Range, Wooded)",Property
Fencing,"ExteriorFeatures, FarmFeatures, OtherStructures",A list of types of fencing found at the property being sold.,Property
FireplaceFeatures,FireplaceFeatures,A list of features or description of the fireplace(s) included in the sale/lease.,Property
FireplaceYN,"FireplaceFeatures, Heating, NumberOfFireplaces",Does the property include a fireplace.,Property
FireplacesTotal,NumberOfFireplaces,The total number of fireplaces included in the property.,Property
Flooring,Flooring,A list of the type(s) of flooring found within the property.,Property
FoundationDetails,FoundationDetail,A list of the type(s) of foundation on which the property sits.,Property
FrontageLength,LotFront,Textual description of the length of the frontages selected in the Frontage Type field.,Property
FrontageType,FrontingOn,"Pick list of types of frontage. i.e. Oceanfront, Lakefront, Golf course, etc. Information about roads or road frontage should be located in the Road Frontage Type and Road Surface Type fields.",Property
Furnished,Furnished,"The property being leased is furnished, unfurnished or partially furnished.",Property
GarageSpaces,GarageSpaces,The number of spaces in the garage(s).,Property
GarageYN,GarageYN,"A flag indicating that the listing has a garage. This flag may be T/F, Y/N or other true, false or unknown indicator. As with all flags, the field may be null.",Property
GreenEnergyEfficient,GreenEnergyEfficient,"Pick list of general green attributes such as energy efficient doors, or appliances without naming specific elements with ratings that may wane over time.",Property
GreenEnergyGeneration,GreenEnergyGeneration,Methods of generating power that are included in the sale or lease.,Property
GreenIndoorAirQuality,GreenIndoorAirQuality,Pick list of indoor air quality measures without naming specific elements with ratings that may wane over time.,Property
GreenSustainability,GreenSustainability,Pick list of sustainable elements used in the construction of the structure without naming specific elements with ratings that may wane over time.,Property
GreenWaterConservation,GreenWaterConservation,Pick list of general water conserving attributes of the property such as landscaping or reclamation without naming specific elements with ratings that may wane over time.,Property
HabitableResidenceYN,"Bunkhouse, OtherStructures, OtherStructuresFarm, PropertyType",Does the property include a structure that can be lived in.,Property
Heating,"Heating, HeatingSecondary",A list describing the heating features of the property.,Property
HeatingYN,Heating,The property has heating.,Property
HighSchool,HighSchool,The name of the high school having a catchment area that includes the associated property.,Property
HorseAmenities,FarmFeatures,A list of horse amenities on the lot or in the community.,Property
HorseYN,FarmType,The Property is allowed to raise horses.,Property
HoursDaysOfOperation,DaysOfOperation,A simplified enumerated list of the days and hours of operation of the business being sold.  i.e. Open 24 Hours or Open 7 Days.  For more detailed descriptions use the HoursDaysofOperationDescription field.,Property
ITSO_AboveGradeFinishedAreaSrchSqFt,Property: AboveGradeFinishedAreaSrchSqFt,Above Grade Finished Area Srch S,Property
ITSO_AcresBush,Property: AcresBush,Acres Bush,Property
ITSO_AcresClear,Property: AcresClear,Acres Clear,Property
ITSO_AcresFenced,Property: AcresFenced,Acres Fenced,Property
ITSO_AcresRange,Property: AcresRange,Acres Range,Property
ITSO_AcresTiledRandom,Property: AcresTiledRandom,Acres Tiled Random,Property
ITSO_AcresTiledSystem,Property: AcresTiledSystem,Acres Tiled System,Property
ITSO_AcresWaste,Property: AcresWaste,Acres Waste,Property
ITSO_ActiveOpenHouseCount,Property: ActiveOpenHouseCount,Active Open House Count,Property
ITSO_AdditionalImagesURL,Property: AdditionalImagesURL,Additional Images URL,Property
ITSO_AdditionalRent,Property: AdditionalRent,Additional Rent,Property
ITSO_AdditionalResidence,Property: AdditionalResidence,Additional Residence,Property
ITSO_AdministrativeFee,Property: AdministrativeFee,Administrative Fee,Property
ITSO_AgeElectric,Property: AgeElectric,Age Electric,Property
ITSO_AgeFurnace,Property: AgeFurnace,Age Furnace,Property
ITSO_AgePlumbing,Property: AgePlumbing,Age Plumbing,Property
ITSO_AgeTank,Property: AgeTank,Age Tank,Property
ITSO_AlternateFeatureSheetURL,Property: AlternateFeatureSheetURL,Alternate Feature Sheet URL,Property
ITSO_AlternateMLSNumber,Property: AlternateMLSNumber,Alternate MLS Number,Property
ITSO_AssessmentRollNumber,Property: AssessmentRollNumber,Assessment Roll Number,Property
ITSO_AssessmentYear,Property: AssessmentYear,Assessment Year,Property
ITSO_AssignmentOfListingYN,Property: AssignmentOfListingYN,Assignment Of Listing YN,Property
ITSO_AssociationFeeRemarks,Property: AssociationFeeRemarks,Association Fee Remarks,Property
ITSO_Banner,Property: Banner,Banner,Property
ITSO_BathsOnLevelBasementCount,Property: BathsOnLevelBasementCount,Baths On Level Basement Count,Property
ITSO_BathsOnLevelGroundCount,Property: BathsOnLevelGroundCount,Baths On Level Ground Count,Property
ITSO_BathsOnLevelLowerCount,Property: BathsOnLevelLowerCount,Baths On Level Lower Count,Property
ITSO_BathsOnLevelSecondCount,Property: BathsOnLevelSecondCount,Baths On Level Second Count,Property
ITSO_BathsOnLevelThirdCount,Property: BathsOnLevelThirdCount,Baths On Level Third Count,Property
ITSO_BathsOnLevelUpperCount,Property: BathsOnLevelUpperCount,Baths On Level Upper Count,Property
ITSO_BathsTotalRooms,Property: BathsTotalRooms,Baths Total Rooms,Property
ITSO_BaySizeLength,Property: BaySizeLength,Bay Size Length,Property
ITSO_BaySizeWidth,Property: BaySizeWidth,Bay Size Width,Property
ITSO_BedsAboveGrade,Property: BedsAboveGrade,Beds Above Grade,Property
ITSO_BedsBelowGrade,Property: BedsBelowGrade,Beds Below Grade,Property
ITSO_BedsOnLevelBasementCount,Property: BedsOnLevelBasementCount,Beds On Level Basement Count,Property
ITSO_BedsOnLevelGroundCount,Property: BedsOnLevelGroundCount,Beds On Level Ground Count,Property
ITSO_BedsOnLevelSecondCount,Property: BedsOnLevelSecondCount,Beds On Level Second Count,Property
ITSO_BedsOnLevelThirdCount,Property: BedsOnLevelThirdCount,Beds On Level Third Count,Property
ITSO_BelowGradeFinishedAreaSrchSqFt,Property: BelowGradeFinishedAreaSrchSqFt,Below Grade Finished Area Srch S,Property
ITSO_BillingYN,Property: BillingYN,Billing YN,Property
ITSO_BuildingAreaTotalSrchSqFt,Property: BuildingAreaTotalSrchSqFt,Building Area Total Srch Sq Ft,Property
ITSO_BuildingPercentage,Property: BuildingPercentage,Building Percentage,Property
ITSO_BuildingSizeMax,Property: BuildingSizeMax,Building Size Max,Property
ITSO_BuildingSizeMin,Property: BuildingSizeMin,Building Size Min,Property
ITSO_BuyOptionYN,Property: BuyOptionYN,Buy Option YN,Property
ITSO_BuyerAgentDesignation,Property: BuyerAgentDesignation,Buyer Agent Designation,Property
ITSO_CeilingHeight,Property: CeilingHeight,Ceiling Height,Property
ITSO_CertificationLevel,Property: CertificationLevel,Certification Level,Property
ITSO_ChannelName,Property: ChannelName,Channel Name,Property
ITSO_ClearanceHeight,Property: ClearanceHeight,Clearance Height,Property
ITSO_CoBuyerAgent2Designation,Property: CoBuyerAgent2Designation,Co Buyer Agent 2 Designation,Property
ITSO_CoBuyerAgent3Designation,Property: CoBuyerAgent3Designation,Co Buyer Agent 3 Designation,Property
ITSO_CoBuyerAgentDesignation,Property: CoBuyerAgentDesignation,Co Buyer Agent Designation,Property
ITSO_CoListAgent2AOR,Property: CoListAgent2AOR,Co List Agent 2 AOR,Property
ITSO_CoListAgent2Designation,Property: CoListAgent2Designation,Co List Agent 2 Designation,Property
ITSO_CoListAgent2DirectPhone,Property: CoListAgent2DirectPhone,Co List Agent 2 Direct Phone,Property
ITSO_CoListAgent2Email,Property: CoListAgent2Email,Co List Agent 2 Email,Property
ITSO_CoListAgent2FullName,Property: CoListAgent2FullName,Co List Agent 2 Full Name,Property
ITSO_CoListAgent2KeyNumeric,Property: CoListAgent2KeyNumeric,Co List Agent 2 Key Numeric,Property
ITSO_CoListAgent2MlsId,Property: CoListAgent2MlsId,Co List Agent 2 Mls Id,Property
ITSO_CoListAgent3AOR,Property: CoListAgent3AOR,Co List Agent 3 AOR,Property
ITSO_CoListAgent3Designation,Property: CoListAgent3Designation,Co List Agent 3 Designation,Property
ITSO_CoListAgent3DirectPhone,Property: CoListAgent3DirectPhone,Co List Agent 3 Direct Phone,Property
ITSO_CoListAgent3Email,Property: CoListAgent3Email,Co List Agent 3 Email,Property
ITSO_CoListAgent3FullName,Property: CoListAgent3FullName,Co List Agent 3 Full Name,Property
ITSO_CoListAgent3KeyNumeric,Property: CoListAgent3KeyNumeric,Co List Agent 3 Key Numeric,Property
ITSO_CoListAgent3MlsId,Property: CoListAgent3MlsId,Co List Agent 3 Mls Id,Property
ITSO_CoListOffice2Fax,Property: CoListOffice2Fax,Co List Office 2 Fax,Property
ITSO_CoListOffice2KeyNumeric,Property: CoListOffice2KeyNumeric,Co List Office 2 Key Numeric,Property
ITSO_CoListOffice2MlsId,Property: CoListOffice2MlsId,Co List Office 2 Mls Id,Property
ITSO_CoListOffice2Name,Property: CoListOffice2Name,Co List Office 2 Name,Property
ITSO_CoListOffice2Phone,Property: CoListOffice2Phone,Co List Office 2 Phone,Property
ITSO_CoListOffice3Fax,Property: CoListOffice3Fax,Co List Office 3 Fax,Property
ITSO_CoListOffice3KeyNumeric,Property: CoListOffice3KeyNumeric,Co List Office 3 Key Numeric,Property
ITSO_CoListOffice3MlsId,Property: CoListOffice3MlsId,Co List Office 3 Mls Id,Property
ITSO_CoListOffice3Name,Property: CoListOffice3Name,Co List Office 3 Name,Property
ITSO_CoListOffice3Phone,Property: CoListOffice3Phone,Co List Office 3 Phone,Property
ITSO_CommercialDoorsCount,Property: CommercialDoorsCount,Commercial Doors Count,Property
ITSO_CommonAreaUpcharge,Property: CommonAreaUpcharge,Common Area Upcharge,Property
ITSO_CommonElementsFeeYN,Property: CommonElementsFeeYN,Common Elements Fee YN,Property
ITSO_CommonInterest,CommonInterest,Common Interest,Property
ITSO_ConditionalSaleIndicatorCode,Property: ConditionalSaleIndicatorCode,Conditional Sale Indicator Code,Property
ITSO_CondoCorporationNumber,Property: CondoCorporationNumber,Condo Corporation Number,Property
ITSO_CondoCorporationYN,Property: CondoCorporationYN,Condo Corporation YN,Property
ITSO_CondoCorporationYearEnd,Property: CondoCorporationYearEnd,Condo Corporation Year End,Property
ITSO_ConstructionAuditYN,Property: ConstructionAuditYN,Construction Audit YN,Property
ITSO_ContractsInPlace,Property: ContractsInPlace,Contracts In Place,Property
ITSO_CraneYN,Property: CraneYN,Crane YN,Property
ITSO_CurrentPrice,Property: CurrentPrice,Current Price,Property
ITSO_DevelopmentChargesPaid,Property: DevelopmentChargesPaid,Development Charges Paid,Property
ITSO_DivisibleYN,Property: DivisibleYN,Divisible YN,Property
ITSO_DockingFeatures,Property: DockingFeatures,Docking Features,Property
ITSO_DockingType,Property: DockingType,Docking Type,Property
ITSO_DockingYN,Property: DockingYN,Docking YN,Property
ITSO_DrivewayParking,Property: DrivewayParking,Driveway Parking,Property
ITSO_EnergyCertificationDate,Property: EnergyCertificationDate,Energy Certification Date,Property
ITSO_EnergyCertificationLevel,Property: EnergyCertificationLevel,Energy Certification Level,Property
ITSO_EnergyCertificationYN,Property: EnergyCertificationYN,Energy Certification YN,Property
ITSO_EnvironmentalAuditYN,Property: EnvironmentalAuditYN,Environmental Audit YN,Property
ITSO_EnvironmentalPhase,Property: EnvironmentalPhase,Environmental Phase,Property
ITSO_EstimatedInventoryValuesAtCost,Property: EstimatedInventoryValuesAtCost,Estimated Inventory Values At Co,Property
ITSO_ExcludeFromInventoryStats,Property: ExcludeFromInventoryStats,Exclude From Inventory Stats,Property
ITSO_Expenses,Property: Expenses,Expenses,Property
ITSO_FarmRemarks,Property: FarmRemarks,Farm Remarks,Property
ITSO_FireplaceStoveOperationalYN,Property: FireplaceStoveOperationalYN,Fireplace Stove Operational YN,Property
ITSO_FranchiseAgreementRequiredYN,Property: FranchiseAgreementRequiredYN,Franchise Agreement Required YN,Property
ITSO_FranchiseApprovalRequiredYN,Property: FranchiseApprovalRequiredYN,Franchise Approval Required YN,Property
ITSO_FranchiseFeeIncludedYN,Property: FranchiseFeeIncludedYN,Franchise Fee Included YN,Property
ITSO_FranchiseYN,Property: FranchiseYN,Franchise YN,Property
ITSO_FranchiseYearsOperated,Property: FranchiseYearsOperated,Franchise Years Operated,Property
ITSO_FreestandingYN,Property: FreestandingYN,Freestanding YN,Property
ITSO_GarageSpacesDescription,Property: GarageSpacesDescription,Garage Spaces Description,Property
ITSO_GradeLevelDoorHeight,Property: GradeLevelDoorHeight,Grade Level Door Height,Property
ITSO_GradeLevelDoorWidth,Property: GradeLevelDoorWidth,Grade Level Door Width,Property
ITSO_GradeLevelShippingDoors,Property: GradeLevelShippingDoors,Grade Level Shipping Doors,Property
ITSO_GreenPropertyInformationStatementYN,Property: GreenPropertyInformationStatementYN,Green Property Information State,Property
ITSO_GreenVerificationCount,Property: GreenVerificationCount,Green Verification Count,Property
ITSO_HSTApplicableToSalePrice,Property: HSTApplicableToSalePrice,HST Applicable To Sale Price,Property
ITSO_HSTApplicableonCommission,Property: HSTApplicableonCommission,HST Applicableon Commission,Property
ITSO_HeatingExpenses,Property: HeatingExpenses,Heating Expenses,Property
ITSO_HoldoverDays,Property: HoldoverDays,Holdover Days,Property
ITSO_IncomePotentialYN,Property: IncomePotentialYN,Income Potential YN,Property
ITSO_IndustrialArea,Property: IndustrialArea,Industrial Area,Property
ITSO_IndustrialAreaUnits,Property: IndustrialAreaUnits,Industrial Area Units,Property
ITSO_InspectionESADate,Property: InspectionESADate,Inspection ESA Date,Property
ITSO_InspectionESAYN,Property: InspectionESAYN,Inspection ESAYN,Property
ITSO_InspectionFireDate,Property: InspectionFireDate,Inspection Fire Date,Property
ITSO_InspectionFireYN,Property: InspectionFireYN,Inspection Fire YN,Property
ITSO_IsLandYN,Property: IsLandYN,Is Land YN,Property
ITSO_KitchensAboveGrade,Property: KitchensAboveGrade,Kitchens Above Grade,Property
ITSO_KitchensBelowGrade,Property: KitchensBelowGrade,Kitchens Below Grade,Property
ITSO_KitchensTotal,Property: KitchensTotal,Kitchens Total,Property
ITSO_LaundryBasementCount,Property: LaundryBasementCount,Laundry Basement Count,Property
ITSO_LaundryIncome,Property: LaundryIncome,Laundry Income,Property
ITSO_LaundryLowerCount,Property: LaundryLowerCount,Laundry Lower Count,Property
ITSO_LaundryMainCount,Property: LaundryMainCount,Laundry Main Count,Property
ITSO_LaundryRentals,Property: LaundryRentals,Laundry Rentals,Property
ITSO_LaundrySecondCount,Property: LaundrySecondCount,Laundry Second Count,Property
ITSO_LaundryThirdCount,Property: LaundryThirdCount,Laundry Third Count,Property
ITSO_LaundryTotal,Property: LaundryTotal,Laundry Total,Property
ITSO_LaundryUpperCount,Property: LaundryUpperCount,Laundry Upper Count,Property
ITSO_LeaseRequirement,Property: LeaseRequirement,Lease Requirement,Property
ITSO_LeaseTermMax,Property: LeaseTermMax,Lease Term Max,Property
ITSO_LeaseTermMin,Property: LeaseTermMin,Lease Term Min,Property
ITSO_LeaseTermRemarks,Property: LeaseTermRemarks,Lease Term Remarks,Property
ITSO_LeaseToOwnEquipment,Property: LeaseToOwnEquipment,Lease To Own Equipment,Property
ITSO_Leasehold,Property: Leasehold,Leasehold,Property
ITSO_LeasesYN,Property: LeasesYN,Leases YN,Property
ITSO_LicensedDwellingYN,Property: LicensedDwellingYN,Licensed Dwelling YN,Property
ITSO_ListAgentNationalAssociationID,Property: ListAgentNationalAssociationID,List Agent National Association ,Property
ITSO_ListOfFixturesYN,Property: ListOfFixturesYN,List Of Fixtures YN,Property
ITSO_ListOfficeNationalAssociationID,Property: ListOfficeNationalAssociationID,List Office National Association,Property
ITSO_LivingAreaSrchSqFt,Property: LivingAreaSrchSqFt,Living Area Srch Sq Ft,Property
ITSO_LivingQuartersAttachedYN,Property: LivingQuartersAttachedYN,Living Quarters Attached YN,Property
ITSO_LocalImprovementFeeComments,Property: LocalImprovementFeeComments,Local Improvement Fee Comments,Property
ITSO_LocalImprovementFeesExistYN,Property: LocalImprovementFeesExistYN,Local Improvement Fees Exist YN,Property
ITSO_LotBuildingUnitCode,Property: LotBuildingUnitCode,Lot Building Unit Code,Property
ITSO_LotDepth,Property: LotDepth,Lot Depth,Property
ITSO_LotIrregularities,Property: LotIrregularities,Lot Irregularities,Property
ITSO_MarketingQuotaIncludedYN,Property: MarketingQuotaIncludedYN,Marketing Quota Included YN,Property
ITSO_MaximumLeaseTerm,Property: MaximumLeaseTerm,Maximum Lease Term,Property
ITSO_MinimumLeaseTerm,Property: MinimumLeaseTerm,Minimum Lease Term,Property
ITSO_NetIncome,Property: NetIncome,Net Income,Property
ITSO_NumberOf2PieceBathrooms,Property: NumberOf2PieceBathrooms,Number Of 2 Piece Bathrooms,Property
ITSO_NumberOf3PieceBathrooms,Property: NumberOf3PieceBathrooms,Number Of 3 Piece Bathrooms,Property
ITSO_NumberOf4PieceBathrooms,Property: NumberOf4PieceBathrooms,Number Of 4 Piece Bathrooms,Property
ITSO_NumberOf5PlusPieceBathrooms,Property: NumberOf5PlusPieceBathrooms,Number Of 5 Plus Piece Bathrooms,Property
ITSO_NumberOfApartmentUnits,Property: NumberOfApartmentUnits,Number Of Apartment Units,Property
ITSO_NumberOfBachelorUnits,Property: NumberOfBachelorUnits,Number Of Bachelor Units,Property
ITSO_NumberOfBays,Property: NumberOfBays,Number Of Bays,Property
ITSO_NumberOfEfficiencyUnits,Property: NumberOfEfficiencyUnits,Number Of Efficiency Units,Property
ITSO_NumberOfIndustrialUnits,Property: NumberOfIndustrialUnits,Number Of Industrial Units,Property
ITSO_NumberOfLoftUnits,Property: NumberOfLoftUnits,Number Of Loft Units,Property
ITSO_NumberOfOfficeUnits,Property: NumberOfOfficeUnits,Number Of Office Units,Property
ITSO_NumberOfOtherUnits,Property: NumberOfOtherUnits,Number Of Other Units,Property
ITSO_NumberOfPenthouseUnits,Property: NumberOfPenthouseUnits,Number Of Penthouse Units,Property
ITSO_NumberOfResidentialUnits,Property: NumberOfResidentialUnits,Number Of Residential Units,Property
ITSO_NumberOfRetailUnits,Property: NumberOfRetailUnits,Number Of Retail Units,Property
ITSO_NumberOfRoomsAboveGrade,Property: NumberOfRoomsAboveGrade,Number Of Rooms Above Grade,Property
ITSO_NumberOfRoomsBelowGrade,Property: NumberOfRoomsBelowGrade,Number Of Rooms Below Grade,Property
ITSO_NumberOfShares,Property: NumberOfShares,Number Of Shares,Property
ITSO_NumberOfStudioUnits,Property: NumberOfStudioUnits,Number Of Studio Units,Property
ITSO_NumberOfUnitsOccupied,Property: NumberOfUnitsOccupied,Number Of Units Occupied,Property
ITSO_NumberOfWarehouseUnits,Property: NumberOfWarehouseUnits,Number Of Warehouse Units,Property
ITSO_NumberOfWashrooms,Property: NumberOfWashrooms,Number Of Washrooms,Property
ITSO_NumberOfWashroomsHand,Property: NumberOfWashroomsHand,Number Of Washrooms Hand,Property
ITSO_OfferInstructions,Property: OfferInstructions,Offer Instructions,Property
