"DD Field","Source Field","Field Description","Selected","Resource"
"AssociationFeeIncludes","","Services included with the association fee.  For example Landscaping, Trash, Water, etc.","No","Property"
"AssociationName","","The name of the Home Owners Association.","No","Property"
"AssociationName2","","The name of the second of two Home Owners Association.","No","Property"
"AssociationPhone","","The phone number of the Home Owners Association. North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"AssociationPhone2","","The phone number of the second of two Home Owners Association. North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"AssociationYN","CondoFee","Is there a Home Owners Association.  A separate Y/N field is needed because not all associations have dues.","Yes","Property"
"AttachedGarageYN","GarageAndParking","A flag indicating that the garage attached to the dwelling.","Yes","Property"
"AvailabilityDate","","The date the property will be available for possession/occupation.","No","Property"
"Basement","BasementDevelopment, BasementFinish, BasementSize, FeaturesInterior","A list of information and features about the basement.  i.e. None/Slab, Finished, Partially Finished, Crawl Space, Dirt, Outside Entrance, Radon Mitigation","Yes","Property"
"BathroomsFull","BathsFull","A room containing all 4 of the 4 elements constituting a bath, which are; Toilet, Sink, Bathtub or Shower Head.  A Full Bath will typically contain four elements; Sink, Toilet, Tub and Shower Head (in tub or stall).  However, some may considered a Sink, Toilet and Tub (without a shower) a Full Bath, others consider this to be a Three Quarter Bath.  In the event that BathroomsThreeQuarter is not in use, this field may represent the sum of all Full and Three Quarter bathrooms.","Yes","Property"
"BathroomsHalf","BathsHalf","A room containing 2 of the 4 elements constituting a bath, which are; Toilet, Sink, Bathtub or Shower Head.  A Half Bath will typically contain a Sink and Toilet.","Yes","Property"
"BathroomsOneQuarter","","A room containing 1 of the 4 elements constituting a bath which are; Toilet, Sink, Bathtub or Shower Head.  Examples are a vanity with a sink or a WC (Water Closet, which is a room with only a toilet).","No","Property"
"BathroomsPartial","","The number of partial bathrooms in the property being sold/leased.  When used in combination with the BathroomsFull field, this replaces (or is the sum of) all Half and One Quarter bathrooms; and in the event BathroomsThreeQuarter is not used, BathroomsFull replaces (or is the sum of) all Full and Three Quarter baths.  This field should not be used in combination with the BathroomsOneQuarter or the BathroomsHalf.","No","Property"
"BathroomsThreeQuarter","","A room containing 3 of the 4 elements constituting a bath, which are; Toilet, Sink, Bathtub or Shower Head. A typical Three Quarter Bath will contain Sink, Toilet and Shower.  Some may considered a Sink, Toilet and Tub (without a shower) a Three Quarter Bath, others consider this to be a Full Bath.","No","Property"
"BathroomsTotalDecimal",,"A decimal representation of the total number of bathrooms.","No","Property"
"BathroomsTotalInteger","BathsFull, BathsHalf, BathsTotalRooms","The simple sum of the number of bathrooms.  For example for a property with two Full Bathrooms and one Half Bathroom, the Bathrooms Total Integer will be 3.  To express this example as 2.5, use the BathroomsTotalDecimal field.  To express this example as 2.1, use the BathroomsTotalNotational.","Yes","Property"
"BedroomsPossible","","The sum of BedroomsTotal plus other rooms that may be used as a bedroom but are not defined as bedroom per local policy.","No","Property"
"BedroomsTotal","BedsTotal","The total number of bedrooms in the dwelling.","Yes","Property"
"BelowGradeFinishedArea","","Finished area within the structure that is below ground.","No","Property"
"BelowGradeFinishedAreaSource","","The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.","No","Property"
"BelowGradeFinishedAreaUnits","","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.","No","Property"
"BodyType","","Type of mobile home.","No","Property"
"BridgeModificationTimestamp",,"A timestamp representing when last this record was modified in the Bridge system.","Yes","Property"
"BuilderModel","","The builders model name or number for the property.","No","Property"
"BuilderName","","Name of the builder of the property or builder's tract.","No","Property"
"BuildingAreaSource","SqftSource","The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.","Yes","Property"
"BuildingAreaTotal","SqFtTotal","Total area of the structure. Includes both finished and unfinished areas.","Yes","Property"
"BuildingAreaUnits","""Square Feet""","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.","Yes","Property"
"BuildingFeatures","ElevatorEscalator","Features or amenities of the building or business park.","Yes","Property"
"BuildingName","BuildingName","Name of the building or business park.","Yes","Property"
"BusinessName","BusinessName","Name of the business being sold.","Yes","Property"
"BusinessType","Use","The type of business being sold. Retail, Wholesale, Grocery, Food & Bev, etc.","Yes","Property"
"BuyerAgencyCompensation","","The total commission to be paid for this sale, expressed as either a percentage or a constant currency amount.","No","Property"
"BuyerAgencyCompensationType","","A list of types to clarify the value entered in the BuyerAgencyCompensation field.  For example $, % or some other clarification of the BuyerAgencyCompensation.","No","Property"
"BuyerAgentAOR","SellingAgentBoard","The Buyer's Agent's Board or Association of REALTORS.","Yes","Property"
"BuyerAgentCellPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentDesignation","","Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.","No","Property"
"BuyerAgentDirectPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentEmail","SellingAgentEmail","The email address of the Buyer's Agent.","Yes","Property"
"BuyerAgentFax","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentFirstName","","The first name of the buyer's agent.","No","Property"
"BuyerAgentFullName","SellingAgentFullName","The full name of the buyer's agent. (First Middle Last)","Yes","Property"
"BuyerAgentHomePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentKey","SellingAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.","Yes","Property"
"BuyerAgentKeyNumeric","SellingAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the BuyerAgentKey field.","No","Property"
"BuyerAgentLastName","","The last name of the buyer's agent.","No","Property"
"BuyerAgentMiddleName","","The middle name of the buyer's agent.","No","Property"
"BuyerAgentMlsId","SellingAgentMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"BuyerAgentMobilePhone",,"North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentNamePrefix","","Prefix to the name (e.g. Dr. Mr. Ms. etc.)","No","Property"
"BuyerAgentNameSuffix","","Suffix to the BuyerAgentLastName (e.g. Esq.,  Jr.,  III etc.)","No","Property"
"BuyerAgentOfficePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"BuyerAgentPager","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentPreferredPhone","SellingAgentDirectWorkPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"BuyerAgentPreferredPhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"BuyerAgentStateLicense","","The license of the buyers agent. Separate multiple licenses with a comma and space.","No","Property"
"BuyerAgentTollFreePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentURL","","The website URI of the buyers agent.","No","Property"
"BuyerAgentVoiceMail","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerAgentVoiceMailExt","","The extension of the given phone number (if applicable).","No","Property"
"BuyerFinancing","","A list of options that describe the type of financing used.  This field is used when setting a listing to Closed.  i.e. cash, FHA loan, etc.","No","Property"
"BuyerOfficeAOR","","The Buyer's Office's Board or Association of REALTORS.","No","Property"
"BuyerOfficeEmail","","The email address of the Buyer's Office.","No","Property"
"BuyerOfficeFax","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"BuyerOfficeKey","SellingOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.","Yes","Property"
"BuyerOfficeKeyNumeric","SellingOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the BuyerOfficeKey field.","No","Property"
"BuyerOfficeMlsId","SellingOfficeMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"BuyerOfficeName","SellingOfficeName","The legal name of the brokerage representing the buyer.","Yes","Property"
"BuyerOfficePhone","SellingOfficePhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"BuyerOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"BuyerOfficeURL","","The website URI for the buyers office.","No","Property"
"BuyerTeamKey","BuyerTeamKey","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Teams resource's TeamKey.","Yes","Property"
"BuyerTeamKeyNumeric","BuyerTeamKeyNumeric","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Teams resource's TeamKey.  This is the numeric only key and used as an alternative to the BuyerTeamKey field.","Yes","Property"
"BuyerTeamName","BuyerTeamName","The name of the team representing the buyer.","Yes","Property"
"CableTvExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"CancelationDate","CancelledDate","Date the listing contract between the seller and listing agent was cancelled.  This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.","Yes","Property"
"CapRate","","Cap Rate is equivalent to the return on investment you would receive if you pay cash for a property. The ratio between the net operating income produced by an asset and its capital cost (the original price paid to buy the asset) or alternatively its current market value.","No","Property"
"CarportSpaces","","The number of carport spaces included in the sale.","No","Property"
"CarportYN","GarageAndParking","A flag indicating that the listing has a car port. This flag may be T/F, Y/N or other true, false or unknown indicator. As with all flags, the field may be null.","Yes","Property"
"CarrierRoute","","The group of addresses to which the USPS assigns the same code to aid in mail delivery. For the USPS, these codes are 9 digits: 5 numbers for the ZIP Code, one letter for the carrier route type, and 3 numbers for the carrier route number.","No","Property"
"City","City","The city in listing address.","Yes","Property"
"CityRegion","","A sub-section or area of a defined city.  Examples would be SOHO in New York, NY, Ironbound in Newark, NJ or Inside the Beltway.","No","Property"
"CloseDate","CloseDate","With for-sale listings, the date the purchase agreement was fulfilled. With lease listings, the date the requirements were fulfilled, such as contract and/or deposit.  This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.","Yes","Property"
"ClosePrice","ClosePrice","The amount of money paid by the purchaser to the seller for the property under the agreement.","Yes","Property"
"CoBuyerAgentAOR","CoSellingAgentBoard","The Co Buyer's Agent's Board or Association of REALTORS.","Yes","Property"
"CoBuyerAgentCellPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentDesignation","","Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.","No","Property"
"CoBuyerAgentDirectPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentEmail","CoSellingAgentEmail","The email address of the Buyer's Co Agent.","Yes","Property"
"CoBuyerAgentFax","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentFirstName","","The first name of the buyer's co-agent.","No","Property"
"CoBuyerAgentFullName","CoSellingAgentFullName","The full name of the buyer's co-agent. (First Middle Last)","Yes","Property"
"CoBuyerAgentHomePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentKey","CoSellingAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.","Yes","Property"
"CoBuyerAgentKeyNumeric","CoSellingAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the CoBuyerAgentKey field.","No","Property"
"CoBuyerAgentLastName","","The last name of the buyer's co-agent.","No","Property"
"CoBuyerAgentMiddleName","","The middle name of the buyer's co-agent.","No","Property"
"CoBuyerAgentMlsId","CoSellingAgentMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"CoBuyerAgentMobilePhone",,"North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentNamePrefix","","Prefix to the name (e.g. Dr. Mr. Ms. etc.)","No","Property"
"CoBuyerAgentNameSuffix","","Suffix to the CoBuyerAgentLastName (e.g. Esq.,  Jr.,  III etc.)","No","Property"
"CoBuyerAgentOfficePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"CoBuyerAgentPager","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentPreferredPhone","CoSellingAgentDirectWorkPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"CoBuyerAgentPreferredPhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"CoBuyerAgentStateLicense","","The license of the co-buyers agent. Separate multiple licenses with a comma and space.","No","Property"
"CoBuyerAgentTollFreePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentURL","","The website URI of the co-buyers agent.","No","Property"
"CoBuyerAgentVoiceMail","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerAgentVoiceMailExt","","The extension of the given phone number (if applicable).","No","Property"
"CoBuyerOfficeAOR","","The Co Buyer's Office's Board or Association of REALTORS.","No","Property"
"CoBuyerOfficeEmail","","The email address of the Buyer's Co Office.","No","Property"
"CoBuyerOfficeFax","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoBuyerOfficeKey","CoSellingOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.","Yes","Property"
"CoBuyerOfficeKeyNumeric","CoSellingOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the CoBuyerOfficeKey field.","No","Property"
"CoBuyerOfficeMlsId","CoSellingOfficeMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"CoBuyerOfficeName","CoSellingOfficeName","The legal name of the brokerage co-representing the buyer.","Yes","Property"
"CoBuyerOfficePhone","CoSellingOfficePhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"CoBuyerOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"CoBuyerOfficeURL","","The website URI for the co-buyers office.","No","Property"
"CoListAgentAOR","CoListAgentBoard","The Co Listing Agent's Board or Association of REALTORS.","Yes","Property"
"CoListAgentCellPhone","CoListAgentCellPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"CoListAgentDesignation","","Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.","No","Property"
"CoListAgentDirectPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentEmail","CoListAgentEmail","The email address of the Co Listing Agent.","Yes","Property"
"CoListAgentFax","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentFirstName","","The first name of the co-listing agent.","No","Property"
"CoListAgentFullName","CoListAgentFullName","The full name of the co-listing agent. (First Middle Last)","Yes","Property"
"CoListAgentHomePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentKey","CoListAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.","Yes","Property"
"CoListAgentKeyNumeric","CoListAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the CoListAgentKey field.","No","Property"
"CoListAgentLastName","","The last name of the co-listing agent.","No","Property"
"CoListAgentMiddleName","","The middle name of the co-listing agent.","No","Property"
"CoListAgentMlsId","CoListAgentMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"CoListAgentMobilePhone",,"North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentNamePrefix","","Prefix to the name (e.g. Dr. Mr. Ms. etc.)","No","Property"
"CoListAgentNameSuffix","","Suffix to the CoListAgentLastName (e.g. Esq.,  Jr.,  III etc.)","No","Property"
"CoListAgentOfficePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"CoListAgentPager","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentPreferredPhone","CoListAgentDirectWorkPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"CoListAgentPreferredPhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"CoListAgentStateLicense","","The license of the co-listing agent. Separate multiple licenses with a comma and space.","No","Property"
"CoListAgentTollFreePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentURL","","The website URI of the co-listing agent.","No","Property"
"CoListAgentVoiceMail","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"CoListAgentVoiceMailExt","","The extension of the given phone number (if applicable).","No","Property"
"CoListOfficeAOR","","The Co Listing Office's Board or Association of REALTORS.","No","Property"
"CoListOfficeEmail","CoListAgentEmail","The email address of the Co Listing Office.","Yes","Property"
"CoListOfficeFax","CoListOfficeFaxPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"CoListOfficeKey","CoListOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.","Yes","Property"
"CoListOfficeKeyNumeric","CoListOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the CoListOfficeKey field.","No","Property"
"CoListOfficeMlsId","CoListOfficeMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"CoListOfficeName","CoListOfficeName","The legal name of the brokerage co-representing the seller.","Yes","Property"
"CoListOfficePhone","CoListOfficePhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"CoListOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"CoListOfficeURL","","The website URI for the co-listing office.","No","Property"
"CommonInterest",,"Common Interest is a type of ownership in a property that is composed of an individual lot or  unit and a share of the ownership or use of common areas. A Common Interest Development (CID) is usually governed by a recorded set of Covenants, Conditions & Restrictions (CC&Rs).","No","Property"
"CommonWalls","","A multi select list with options like 1 Common Wall, 2 Common Walls, No Common Walls, No One Above, No One Below.  Implementation should include rules preventing illogical selection combinations and to ensure consistency with the Property Attached Y/N field.","No","Property"
"CommunityFeatures","","A list of features related to, or available within, the community.","No","Property"
"Concessions",,"Are there concessions included in the sales agreement? Yes, No or Call Listing Agent","No","Property"
"ConcessionsAmount","","The dollar amount of the concessions.  If the concessions are made by the seller, some may subtract this value from the sales price as a means of calculating their own true price.  If concessions are made by the buyer, some may add this amount to the sale price to create their own true price.  Concessions made by both buyer and seller should be subtracted from each other providing a net value.  Details of this calculation should be added to the Concessions Comments field.","No","Property"
"ConcessionsComments","","Comments describing the concessions made by the buyer or the seller.","No","Property"
"ConstructionMaterials","Exterior","A list of the materials that were used in the construction of the property.","Yes","Property"
"ContinentRegion","","A sub-section or area of a continent.  Examples would be Southern Europe or Scandinavia.","No","Property"
"Contingency","","A list of contingencies that must be satisfied in order to complete the transaction.","No","Property"
"ContingentDate","ConditionalDate","The date an offer was made with a contingency. The Listing remains On Market.  This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.","Yes","Property"
"ContractStatusChangeDate","","The date of the listings contractual status change. This is not necessarily the time the agent made the change in the MLS system, but rather the date of the contractual change.","No","Property"
"Cooling","AirConditioning, AirConditioningType","A list describing the cooling or air conditioning features of the property.","Yes","Property"
"CoolingYN","AirConditioning","The property has cooling or Air Conditioning.","Yes","Property"
"Coordinates",,"Geographical coordinates (longitude, latitude)","No","Property"
"CopyrightNotice","","Notice of the legal rights of the owner of the information or data.","No","Property"
"Country","""CA""","The country abbreviation in a postal address.","Yes","Property"
"CountryRegion","","A sub-section or area of a defined country.  Examples would be Napa Valley in the US, or the Amalfi Coast in Italy.","No","Property"
"CountyOrParish","CountyOrParish","The County, Parish or other regional authority","Yes","Property"
"CoveredSpaces","GarageSpaces","The total number of garage and carport spaces.","Yes","Property"
"CropsIncludedYN","LivestockOrCropIncludedYN","Are crops included in the sale of the property.","Yes","Property"
"CrossStreet","CrossStreet","Nearest cross streets to the property.  This field is in addition to, and independent of, the driving directions field.","Yes","Property"
"CultivatedArea","","Measurement or percentage of the property that has been cultivated.","No","Property"
"CumulativeDaysOnMarket","CDOM","The number of days the property is on market, as defined by the MLS business rules.","No","Property"
"CurrentFinancing","Financing","A list of options that describe the type of financing that the seller currently has in place for the property being sold.  i.e. cash, assumable, FHA loan, etc.","Yes","Property"
